NAME,GEO_ID,B01003_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,B01001_023E,B01001_024E,B01001_025E,B01001_047E,B01001_048E,B01001_049E,B03002_002E,B03002_003E,B03002_012E,B03002_013E,B16004_007E,B16004_008E,B16004_012E,B16004_013E,B16004_017E,B16004_018E,B16004_022E,B16004_023E,B16004_029E,B16004_030E,B16004_034E,B16004_035E,B16004_039E,B16004_040E,B16004_044E,B16004_045E,B16004_051E,B16004_052E,B16004_056E,B16004_057E,B16004_061E,B16004_062E,B16004_066E,B16004_067E,state,county,tract,block group,poverty_ratio_sum,over_75_sum,total_minority_non_hispanic,total_minority_hispanic,total_minority,do_not_speak_english_very_well
"Block Group 5, Census Tract 428.01, Virginia Beach city, Virginia",518100428015,1199,25,66,70,387,8,0,0,20,0,0,1038,744,161,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42801,5,548,28,294,0,294,0
"Block Group 1, Census Tract 428.02, Virginia Beach city, Virginia",518100428021,1626,28,248,16,97,0,4,43,28,64,0,1495,582,131,68,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42802,1,389,139,913,63,976,17
"Block Group 2, Census Tract 428.02, Virginia Beach city, Virginia",518100428022,1792,74,58,70,61,0,5,0,21,0,0,1643,925,149,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42802,2,263,26,718,99,817,0
"Block Group 3, Census Tract 428.02, Virginia Beach city, Virginia",518100428023,786,23,0,8,38,9,0,0,0,6,0,623,497,163,26,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42802,3,69,15,126,137,263,27
"Block Group 1, Census Tract 430.02, Virginia Beach city, Virginia",518100430021,2039,0,36,0,0,52,17,49,30,28,22,1942,1794,97,97,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,43002,1,36,198,148,0,148,6
"Block Group 2, Census Tract 430.02, Virginia Beach city, Virginia",518100430022,1842,9,79,0,0,20,10,0,40,8,76,1842,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,51,810,43002,2,88,154,238,0,238,19
"Block Group 1, Census Tract 430.04, Virginia Beach city, Virginia",518100430041,1295,23,10,0,62,89,33,17,7,17,18,1295,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,43004,1,95,181,64,0,64,0
"Block Group 2, Census Tract 430.04, Virginia Beach city, Virginia",518100430042,1398,65,42,0,8,0,0,10,7,8,38,1262,1196,136,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,43004,2,115,63,66,51,117,0
"Block Group 3, Census Tract 430.04, Virginia Beach city, Virginia",518100430043,775,11,53,0,0,22,5,8,17,0,22,744,718,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,43004,3,64,74,26,20,46,0
"Block Group 1, Census Tract 430.05, Virginia Beach city, Virginia",518100430051,970,0,9,0,14,0,8,34,34,70,27,935,822,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,43005,1,23,173,113,35,148,0
"Block Group 2, Census Tract 430.05, Virginia Beach city, Virginia",518100430052,1193,60,0,0,33,49,36,92,91,93,338,1193,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,43005,2,93,699,13,0,13,0
